Q,A,label
최근 7일내 대구대 공지사항 알고 있어?, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 대사항 알고 있어?, 네 최근지사항 입니다. D7 ,0
최근 7일내 공지사항 알려줘 ,네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 공지사항 알려줘 ,네 최근 7일간 대다. D7 ,0
최근 7일내에  대구대 공지 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내에  대구대 공지 알려줘, 네 최근 7간 대구대 공지사항 입니다. D7 ,0
최근 7일내 대구대 공지사항, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 , 네일간 대구대 공지사항 입니다. D7 ,0
최근 7일내 대구대 공지, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
최근7일내 대구대 공지, 네 최근지사항 입니다. D7 ,0
일주일간 대구대 공지 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 대구대 공지 알려줘, 네 다. D7 ,0
일주일간 공지사항 알려줘, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 공지사항 알려줘, 네 최근  ,0
일주일간 대구대 공지사항 알고 있어?, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주일간 대구대 알고 있어?, 네 최근 7일간 대구사항 입니다. D7 ,0
일주일내에 대구대 공지사항 알고 있어?, 네 최근 7일간 대구대 공지사항 입니다. D7 ,0
일주알고 있어?, 네 최근 7일간 대. D7 ,0
1주내에 대구대 공지사항, 네 최근 1주내에 대구대 공지사항 입니다. D7 ,0
1주내에 공지사항, 네 최근 1주내에 대구대 공지사항 입니다. D7 ,0
대구대 공지사항을 1주일치 보여줘, 네 1주간 대구대 공지사항 입니다. D7 ,0
대구대 공지사항을 1주일치 보여줘, 네 1주간 대구대 ,0
대구대 공지사항 보여줘, 네 1주간 대구대 공지사항 입니다. D7 ,0
대구대 지사항 보여줘, 네 1간 대구대 공지사항 입니다. D7 ,0
오늘 대구대 공지사항 알고 있어?, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 , 네 오늘 대구대 니다. D0 ,0
오늘 공지사항 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 공, 네 오늘 대구대 니다. D0 ,0
오늘  대구대 공지 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘  대구대줘, 네,0
오늘 대구대 공지사항, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대구항, 네 오늘 대 D0 ,0
오늘 대구대 공지, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대 공지, 네 오늘 대구대  ,0
오늘 공지사항 알려줘, 네 오늘 대구대 공지사항 입니다. D0 ,0
 공지사항 알려줘, 네 오늘 대구대  D0 ,0
오늘 대구대 공지사항 알고 있어?, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대 알고 있어?, 네 오늘 입니다. D0 ,0
오늘 대구대 공지사항 알고 있니?, 네 오늘 대구대 공지사항 입니다. D0 ,0
오늘 대항 알고 있니?, 네 오늘구대 공지사항 입니다. D0 ,0
어제 대구대 공지사항 알고 있어?, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제어?, 네 어제 대구지사항 입니다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 공지,항 입니다. D-1 ,0
어제 대구대 공지 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지 알려줘, 네 어제 대구대  D-1 ,0
어제 대구대 공지사항, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대사항, 네 어제 대,0
어제 대구대 공지, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대 공지, 네 구대 공지사항 입니다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대 공지사항 입니다. D-1 ,0
어사항 알려줘, 네 어제 대구 D-1 ,0
어제 대구대 공지사항 알고 있어?, 네 어제 대구대 공지사항 입니다. D-1 ,0
어제 대구대  알고 있어?, 네 어제 대구대 ,0
어제 대구대 공지사항 알고 있니?, 네 어제 대구대 공지사항 입니다. D-1 ,0
 대구대 공지사항 알고 있니?, 네 어제 대구대지사항 입니다. D-1 ,0
10일간 대구대 공지사항 알고 있어?, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간 대구대  있어?, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일동안 공지사항 알려줘, 네 10일동안 대구대 공지사항 입니다. D10 ,0
10일동안려줘, 네 10일동안 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일려줘, 네 10일간  공지사항 입니다. D10 ,0
10일간 대구대 공지사항, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간구대 공지사항, 네 10일간 입니다. D10 ,0
10일간 대구대 공지, 네 10일간  대구대 공지사항 입니다. D10 ,0
10일 대구대 공지, 네 1 D10 ,0
10일간 공지사항 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일알려줘, 네 10간 대구대 공지사항 입니다. D10 ,0
10일간 대구대 공지사항 알고 있어?, 네 10일간 대구대 공지사항 입니다. D10 ,0
10일간 대구대, 네 10일간 대항 입니다. D10 ,0
10일치 공지사항 알려줘, 네 10일간 대구대 공지사항 입니다. D10 ,0
알려줘, 네 니다. D10 ,0
10일치 대구대 공지사항 알고 있어?, 네 10일치 대구대 공지사항 입니다. D10 ,0
10일치 대구대 ?, 네 10일치 대구대항 입니다. D10 ,0
열흘치 대구대 공지사항 알고 있어?, 네 열흘치 대구대 공지사항 입니다. D10 ,0
열공지사항 알고 있어?, 네 열흘치 대구대공지사항 입니다. D10 ,0
2주간 대구대 공지사항 알고 있어?, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 대구지사항 알고 있어?, 다. D14 ,0
2주간 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 공지사항 알려줘, ,0
2주동안 대구대 공지 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주동안, 주간 대구대 공지사항 입니다. D14 ,0
2주간 대구대 공지사항, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 대지사항, 네 2주간 ,0
2주동안 대구대 공지, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주, 네 2주간 대 ,0
2주간 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주간 공지, 네 2주간 14 ,0
2주동안 대구대 공지사항 알고 있어?, 네 2주간 대구대 공지사항 입니다. D14 ,0
2주동알고 있어?, 네 2주간  ,0
2주내에 공지사항 알려줘, 네 2주간 대구대 공지사항 입니다. D14 ,0
항 알려줘, 네 D14 ,0
2주치 대구대 공지사항 알고 있어?, 네 2주치 대구대 공지사항 입니다. D14 ,0
2주치지사항 알고 있어?, 네 2주치  D14 ,0
최근 7일내 대구대학교 공지사항 알고 있어?, 네 최근 7일간 대구대학교 공지사항 입니다.  D7 ,0
최근 7일내 대항 알고 있어?, 네 최근 7D7 ,0
최근 7일내 공지사항 알려줘 ,네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최근 7일알려줘 ,네 최근 7일. D7 ,0
최근 7일내에  대구대학교 공지 알려줘, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최근 7일내에알려줘, 네 최근 7일간 대니다. D7 ,0
최근 7일내 대구대학교 공지사항, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최근 7일내학교 공지사항, 네 최근간 대구대학교 공지사항 입니다. D7 ,0
최근 7일내 대구대학교 공지, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
최공지, 네 최근 7일간 대구대입니다. D7 ,0
일주일간 대구대학교 공지 알려줘, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
일주일간 대구대알려줘, 네 최근 7일간 대 ,0
일주일간 공지사항 알려줘, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
일주알려줘, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
일주일간 대구대학교 공지사항 알고 있어?, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
일주일간 대구대학항 알고 있어?, 네 최7 ,0
일주일내에 대구대학교 공지사항 알고 있어?, 네 최근 7일간 대구대학교 공지사항 입니다. D7 ,0
일주일 대구대학교 공지사항 알고 있어?, 네 최근 7일간지사항 입니다. D7 ,0
1주내에 대구대학교 공지사항, 네 최근 1주내에 대구대학교 공지사항 입니다. D7 ,0
1주내에 , 네 최근 1주내에 ,0
대구대학교 공지사항을 1주일치 보여줘, 네 1주간 대구대학교 공지사항 입니다. D7 ,0
대구대학교 공지사항치 보여줘, 네대학교 공지사항 입니다. D7 ,0
대구대학교 공지사항 보여줘, 네 1주간 대구대학교 공지사항 입니다. D7 ,0
대구대사항 보여줘, 네 7 ,0
오늘 대구대학교 공지사항 알고 있어?, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오 알고 있어?, 네 오늘 대구대학교 다. D0 ,0
오늘 공지사항 알려줘, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오 공지사항 알려줘, 네 학교 공지사항 입니다. D0 ,0
오늘  대구대학교 공지 알려줘, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘  대구대학교 공지 알려줘, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘 대구대학교 공지사항, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오교 공지사항, . D0 ,0
오늘 대구대학교 공지, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘구대학교 공지, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘 공지사항 알려줘, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘 공사항 알려줘, 네 오늘 대0 ,0
오늘 대구대학교 공지사항 알고 있어?, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘 대구대학교공지사항 알고 있어?, 네 학교 공지사항 입니다. D0 ,0
오늘 대구대학교 공지사항 알고 있니?, 네 오늘 대구대학교 공지사항 입니다. D0 ,0
오늘 대구대학교 공알고 있니?, 네 오늘 대구대학교사항 입니다. D0 ,0
어제 대구대학교 공지사항 알고 있어?, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제, 다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제 공지알려줘, 네 어제 대구대학교 항 입니다. D-1 ,0
어제 대구대학교 공지 알려줘, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어, 어제 대구대학교 공지사항 입니다. D-1 ,0
어제 대구대학교 공지사항, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제구대학교 공지사항, 네 어제 대교 공지사항 입니다. D-1 ,0
어제 대구대학교 공지, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어 대구대학교 공지, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제 공지사항 알려줘, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
 공지사항 알려줘, 네 어제 대구대입니다. D-1 ,0
어제 대구대학교 공지사항 알고 있어?, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제 구대학교 공지사항 알고 있어?, 네 어제 대구대지사항 입니다. D-1 ,0
어제 대구대학교 공지사항 알고 있니?, 네 어제 대구대학교 공지사항 입니다. D-1 ,0
어제고 있니?, 네 어제 대구대학교 ,0
